tag,episode,step,reward,throughput,normalized_throughput,timeout_rate,ip4-input,ip6-input,nat44-ed-in2out,nat44-ed-in2out-slowpath,arp-input,ip4-receive,ip4-mfib-forward-lookup,loop0-output
_fixed_all_32,4188,1,0.6093682577029436,5007274,0.7153248571428571,0.0021191319887982705,32,32,32,32,32,32,32,32
_fixed_all_32,4188,2,0.6106168259467493,5015543,0.7165061428571429,0.0021177863382078714,32,32,32,32,32,32,32,32
_fixed_all_32,4188,3,0.6126879896708683,5022942,0.7175631428571428,0.0020975030637254903,32,32,32,32,32,32,32,32
_fixed_all_32,4188,4,0.5918228199367497,4916810,0.7024014285714286,0.0022115721726935792,32,32,32,32,32,32,32,32
_fixed_all_32,4188,5,0.601369827403343,4960175,0.7085964285714286,0.0021445320233617103,32,32,32,32,32,32,32,32
_fixed_all_32,4188,6,0.4837107437271898,4316249,0.616607,0.0026579251254562042,32,32,32,32,32,32,32,32
_fixed_all_32,4188,7,0.5887733502304148,4879982,0.6971402857142858,0.0021673387096774193,32,32,32,32,32,32,32,32
_fixed_all_32,4188,8,0.5877660525579393,4886607,0.6980867142857143,0.0022064132345554995,32,32,32,32,32,32,32,32
_fixed_all_32,4188,9,0.5480572295328225,4671952,0.6674217142857143,0.0023872896950578337,32,32,32,32,32,32,32,32
_fixed_all_32,4188,10,0.48238965157324915,4313113,0.616159,0.0026753869685350175,32,32,32,32,32,32,32,32
_fixed_all_32,4188,11,0.5992466882397399,4937004,0.7052862857142858,0.0021207919494909164,32,32,32,32,32,32,32,32
_fixed_all_32,4188,12,0.5492665341886123,4670731,0.6672472857142857,0.002359615030513468,32,32,32,32,32,32,32,32
_fixed_all_32,4188,13,0.5946525800733409,4919710,0.7028157142857143,0.002163262684247468,32,32,32,32,32,32,32,32
_fixed_all_32,4188,14,0.596880360120833,4926548,0.7037925714285714,0.002138244226154769,32,32,32,32,32,32,32,32
_fixed_all_32,4188,15,0.58981489905549,4885742,0.6979631428571429,0.002162964876033058,32,32,32,32,32,32,32,32
_fixed_all_32,4188,16,0.5593358205580333,4724517,0.674931,0.002311903588839332,32,32,32,32,32,32,32,32
_fixed_all_32,4188,17,0.567898418040246,4782004,0.6831434285714286,0.0023049002106236517,32,32,32,32,32,32,32,32
_fixed_all_32,4188,18,0.43492426936826467,4068373,0.5811961428571428,0.0029254374697775627,32,32,32,32,32,32,32,32
_fixed_all_32,4188,19,0.43041296314704813,4055394,0.579342,0.0029785807370590373,32,32,32,32,32,32,32,32
_fixed_all_32,4188,20,0.5712206012512395,4807189,0.6867412857142857,0.002310413689260923,32,32,32,32,32,32,32,32
_fixed_all_32,4188,21,0.5953402857142858,4167382.0000000005,0.5953402857142858,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,22,0.47355814285714287,3314907,0.47355814285714287,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,23,0.387899,2715293,0.387899,0,32,32,32,32,32,32,32,32
_fixed_all_32,4188,24,0.40080685714285713,2805648,0.40080685714285713,0,32,32,32,32,32,32,32,32
_fixed_all_64,4190,1,0.35421698826761094,4222196,0.6031708571428571,0.004979077377504923,64,64,64,64,64,64,64,64
_fixed_all_64,4190,2,0.3602096673786249,4245429,0.6064898571428572,0.004925603795284646,64,64,64,64,64,64,64,64
_fixed_all_64,4190,3,0.5194766563405919,5208699,0.7440998571428571,0.004492464016045305,64,64,64,64,64,64,64,64
_fixed_all_64,4190,4,0.5146611552677474,5191707,0.7416724285714286,0.004540225466073625,64,64,64,64,64,64,64,64
_fixed_all_64,4190,5,0.5200527407768951,5217467,0.7453524285714286,0.004505993755890669,64,64,64,64,64,64,64,64
_fixed_all_64,4190,6,0.5046374141270769,5116194,0.7308848571428571,0.004524948860315605,64,64,64,64,64,64,64,64
_fixed_all_64,4190,7,0.5001505987841945,5083501,0.7262144285714286,0.0045212765957446804,64,64,64,64,64,64,64,64
_fixed_all_64,4190,8,0.4624955322193981,4850949,0.6929927142857143,0.0046099436413263245,64,64,64,64,64,64,64,64
_fixed_all_64,4190,9,0.3593839730057972,4241177,0.6058824285714286,0.004929969111312628,64,64,64,64,64,64,64,64
_fixed_all_64,4190,10,0.42663121488246314,4641473,0.6630675714285714,0.004728727130922166,64,64,64,64,64,64,64,64
_fixed_all_64,4190,11,0.44211942904446544,4738824,0.6769748571428571,0.0046971085619678336,64,64,64,64,64,64,64,64
_fixed_all_64,4190,12,0.49949815160448485,5093213,0.7276018571428572,0.004562074110767447,64,64,64,64,64,64,64,64
_fixed_all_64,4190,13,0.4900629611451943,5041669,0.7202384285714286,0.004603509348524686,64,64,64,64,64,64,64,64
_fixed_all_64,4190,14,0.492202506577575,5053756,0.7219651428571429,0.004595252725591356,64,64,64,64,64,64,64,64
_fixed_all_64,4190,15,0.1462422566528334,2994932,0.42784742857142855,0.005632103438371902,64,64,64,64,64,64,64,64
_fixed_all_64,4190,16,0.145964260523113,2989568,0.4270811428571429,0.005622337646680598,64,64,64,64,64,64,64,64
_fixed_all_64,4190,17,0.2444421038647343,3565903,0.5094147142857143,0.0052994522084196,64,64,64,64,64,64,64,64
_fixed_all_64,4190,18,0.13117974542032923,2952739,0.42181985714285714,0.0058128022344505585,64,64,64,64,64,64,64,64
_fixed_all_64,4190,19,0.28535596062940716,3756911,0.5367015714285714,0.005026912215983286,64,64,64,64,64,64,64,64
_fixed_all_64,4190,20,0.12298992996862435,2857286,0.40818371428571426,0.005703875686341798,64,64,64,64,64,64,64,64
_fixed_all_64,4190,21,0.7246887142857142,5072821,0.7246887142857142,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,22,0.7139208571428571,4997446,0.7139208571428571,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,23,0.7232454285714286,5062718,0.7232454285714286,0,64,64,64,64,64,64,64,64
_fixed_all_64,4190,24,0.7255167142857143,5078617,0.7255167142857143,0,64,64,64,64,64,64,64,64
_fixed_all_128,4194,1,0.465275385518591,5268914,0.752702,0.00574853228962818,128,128,128,128,128,128,128,128
_fixed_all_128,4194,2,0.46239738533536145,5244978,0.7492825714285715,0.005737703721864201,128,128,128,128,128,128,128,128
_fixed_all_128,4194,3,0.4653044081489405,5261017,0.7515738571428572,0.005725388979878334,128,128,128,128,128,128,128,128
_fixed_all_128,4194,4,0.46443007998150715,5239532,0.7485045714285714,0.005681489828941285,128,128,128,128,128,128,128,128
_fixed_all_128,4194,5,0.4675705773781794,5276453,0.753779,0.005724168452436411,128,128,128,128,128,128,128,128
_fixed_all_128,4194,6,0.3554145009251791,4448551,0.6355072857142857,0.005601855695782132,128,128,128,128,128,128,128,128
_fixed_all_128,4194,7,0.46132591601932554,5183054,0.7404362857142858,0.0055822073938992045,128,128,128,128,128,128,128,128
_fixed_all_128,4194,8,0.41034464516707553,4834698,0.6906711428571428,0.005606529953801346,128,128,128,128,128,128,128,128
_fixed_all_128,4194,9,0.4516203061019862,5156898,0.7366997142857142,0.0057015881636745605,128,128,128,128,128,128,128,128
_fixed_all_128,4194,10,0.4532670586523986,5170108,0.7385868571428571,0.005706395969809171,128,128,128,128,128,128,128,128
_fixed_all_128,4194,11,0.447848829618356,5132948,0.7332782857142857,0.005708589121918593,128,128,128,128,128,128,128,128
_fixed_all_128,4194,12,0.2687965498263951,3915400,0.5593428571428571,0.0058109261463292405,128,128,128,128,128,128,128,128
_fixed_all_128,4194,13,0.44994750648425735,5175033,0.7392904285714286,0.005786858441743425,128,128,128,128,128,128,128,128
_fixed_all_128,4194,14,0.4540754702216538,5159967,0.7371381428571429,0.005661253452709782,128,128,128,128,128,128,128,128
_fixed_all_128,4194,15,0.3453697288697381,4435062,0.6335802857142857,0.005764211136890952,128,128,128,128,128,128,128,128
_fixed_all_128,4194,16,0.43223189270350304,5020530,0.7172185714285715,0.005699733574501369,128,128,128,128,128,128,128,128
_fixed_all_128,4194,17,0.43974841080055205,5069313,0.7241875714285714,0.005688783212560386,128,128,128,128,128,128,128,128
_fixed_all_128,4194,18,0.32220195464199275,4270349,0.6100498571428571,0.005756958050017287,128,128,128,128,128,128,128,128
_fixed_all_128,4194,19,0.4317401330484131,5010671,0.7158101428571428,0.005681400196174595,128,128,128,128,128,128,128,128
_fixed_all_128,4194,20,0.4420414739045244,5087111,0.7267301428571429,0.005693773379052369,128,128,128,128,128,128,128,128
_fixed_all_128,4194,21,0.05690798436478883,4276953,0.6109932857142857,0.011081706026989937,128,128,128,128,128,128,128,128
_fixed_all_128,4194,22,0.5605116055620998,5182052,0.7402931428571429,0.0035956307459008626,128,128,128,128,128,128,128,128
_fixed_all_128,4194,23,0.5195280677091818,5159258,0.7370368571428572,0.004350175788673508,128,128,128,128,128,128,128,128
_fixed_all_128,4194,24,0.05879807667886272,4273534,0.6105048571428572,0.01103413560927989,128,128,128,128,128,128,128,128
_fixed_all_192,4198,1,0.29450480997432893,4079205.0000000005,0.5827435714285715,0.005764775229084851,192,192,192,192,192,192,192,192
_fixed_all_192,4198,2,0.2552187938017599,3793969.0000000005,0.5419955714285715,0.005735535552536232,192,192,192,192,192,192,192,192
_fixed_all_192,4198,3,0.426222487518561,5007928,0.7154182857142857,0.005783915963914493,192,192,192,192,192,192,192,192
_fixed_all_192,4198,4,0.4817010043013556,5390255,0.7700364285714286,0.00576670848540146,192,192,192,192,192,192,192,192
_fixed_all_192,4198,5,0.48293177607482,5394103,0.7705861428571429,0.005753087335646457,192,192,192,192,192,192,192,192
_fixed_all_192,4198,6,0.4669877857075926,5274473,0.7534961428571428,0.005730167142991005,192,192,192,192,192,192,192,192
_fixed_all_192,4198,7,0.4594382782245051,5228500,0.7469285714285714,0.005749805864081325,192,192,192,192,192,192,192,192
_fixed_all_192,4198,8,0.28537154286065025,4004577,0.5720824285714285,0.005734217714215566,192,192,192,192,192,192,192,192
_fixed_all_192,4198,9,0.46396884486087064,5264925,0.7521321428571428,0.005763265959925443,192,192,192,192,192,192,192,192
_fixed_all_192,4198,10,0.46533597290846723,5276702,0.7538145714285714,0.0057695719704020845,192,192,192,192,192,192,192,192
_fixed_all_192,4198,11,0.475092650492135,5331972,0.7617102857142857,0.005732352704443014,192,192,192,192,192,192,192,192
_fixed_all_192,4198,12,0.4755993639121242,5342715,0.763245,0.005752912721757515,192,192,192,192,192,192,192,192
_fixed_all_192,4198,13,0.35420541965649455,4512171,0.6445958571428572,0.005807808749727253,192,192,192,192,192,192,192,192
_fixed_all_192,4198,14,0.4720606619854046,5299549,0.7570784285714286,0.00570035533172048,192,192,192,192,192,192,192,192
_fixed_all_192,4198,15,0.4670134730463317,5275483,0.7536404285714285,0.0057325391105019375,192,192,192,192,192,192,192,192
_fixed_all_192,4198,16,0.46068156889394485,5242127,0.7488752857142857,0.005763874336406818,192,192,192,192,192,192,192,192
_fixed_all_192,4198,17,0.46274374796606543,5243373,0.7490532857142858,0.005726190754964406,192,192,192,192,192,192,192,192
_fixed_all_192,4198,18,0.4568748306883288,5217113,0.7453018571428571,0.0057685405290905665,192,192,192,192,192,192,192,192
_fixed_all_192,4198,19,0.24536943696078245,3752852.9999999995,0.5361218571428571,0.005815048403641492,192,192,192,192,192,192,192,192
_fixed_all_192,4198,20,0.46182375141432735,5249789,0.7499698571428571,0.005762922114570595,192,192,192,192,192,192,192,192
_fixed_all_192,4198,21,-0.39826614777470803,4667002,0.6667145714285714,0.021299614384065586,192,192,192,192,192,192,192,192
_fixed_all_192,4198,22,-0.1887783615750196,5245932,0.7494188571428572,0.018763944374357536,192,192,192,192,192,192,192,192
_fixed_all_192,4198,23,-0.18070631362497158,5248276,0.7497537142857142,0.018609200558213718,192,192,192,192,192,192,192,192
_fixed_all_192,4198,24,-0.21023846498612764,5206646,0.7438065714285714,0.019080900728293982,192,192,192,192,192,192,192,192
_fixed_all_256,4202,1,0.4820673812868147,5421598,0.774514,0.005848932374263706,256,256,256,256,256,256,256,256
_fixed_all_256,4202,2,0.47753765847705826,5393358,0.7704797142857143,0.005858841116173121,256,256,256,256,256,256,256,256
_fixed_all_256,4202,3,0.3918160478065242,4801952,0.6859931428571429,0.005883541901012373,256,256,256,256,256,256,256,256
_fixed_all_256,4202,4,0.48497479427641604,5438560,0.7769371428571429,0.005839246971614536,256,256,256,256,256,256,256,256
_fixed_all_256,4202,5,0.48795325,5466454,0.780922,0.005859375,256,256,256,256,256,256,256,256
_fixed_all_256,4202,6,0.39557956130364696,4879341,0.6970487142857142,0.006029383059641346,256,256,256,256,256,256,256,256
_fixed_all_256,4202,7,0.4623045289072808,5269120,0.7527314285714286,0.005808537993282956,256,256,256,256,256,256,256,256
_fixed_all_256,4202,8,0.46338613758185787,5268951,0.7527072857142857,0.005786422962648557,256,256,256,256,256,256,256,256
_fixed_all_256,4202,9,-0.1462149893241857,3289763,0.46996614285714283,0.012323622643626572,256,256,256,256,256,256,256,256
_fixed_all_256,4202,10,-0.10201676256707148,3477600,0.4968,0.01197633525134143,256,256,256,256,256,256,256,256
_fixed_all_256,4202,11,0.4811536249707207,5391209,0.7701727142857143,0.005780381786299873,256,256,256,256,256,256,256,256
_fixed_all_256,4202,12,0.3705210093350677,4648163,0.6640232857142857,0.00587004552758436,256,256,256,256,256,256,256,256
_fixed_all_256,4202,13,0.46079478907930016,5290319,0.7557598571428571,0.005899301361271139,256,256,256,256,256,256,256,256
_fixed_all_256,4202,14,0.47911870609698987,5389175,0.7698821428571428,0.005815268735203059,256,256,256,256,256,256,256,256
_fixed_all_256,4202,15,0.4852857779494637,5408389,0.772627,0.0057468244410107255,256,256,256,256,256,256,256,256
_fixed_all_256,4202,16,-0.14015898186984455,3296802,0.47097171428571427,0.012222613923111176,256,256,256,256,256,256,256,256
